LISTA;empresa;caregoria;codigo;titulo; P.V.P  ACT. ; NUEVO P.V.P ; INCREMENTO ; % INCREMENTO ;; CONSE ; PRECIO NUEVO ;
LISTA;2;ELT;1794;PM SCIENCE 4 PUPIL S BOOK; 55.000,00 ; 58.300,00 ; 3.300,00 ; 0,06 ;#�REF!; 35,00 ; 61.900 ;
LISTA;2;ELT;1795;PM SCIENCE 5 PUPIL S BOOK; 55.000,00 ; 58.300,00 ; 3.300,00 ; 0,06 ;#�REF!; 36,00 ; 61.900 ;
LISTA;2;ELT;1796;PM SCIENCE 6 PUPIL S BOOK; 55.000,00 ; 58.300,00 ; 3.300,00 ; 0,06 ;#�REF!; 37,00 ; 61.900 ;
LISTA;2;ELT;1840;RIGHT A SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 38,00 ; 84.900 ;
LISTA;2;ELT;1841;RIGHT 1 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 39,00 ; 84.900 ;
LISTA;2;ELT;1842;RIGHT 2 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 40,00 ; 84.900 ;
LISTA;2;ELT;1843;RIGHT 3 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 41,00 ; 84.900 ;
LISTA;2;ELT;1844;RIGHT 4 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 42,00 ; 84.900 ;
LISTA;2;ELT;1845;RIGHT 5 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 43,00 ; 84.900 ;
LISTA;2;ELT;1846;RIGHT UP 6 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 44,00 ; 84.900 ;
LISTA;2;ELT;1847;RIGHT UP 7 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 45,00 ; 84.900 ;
LISTA;2;ELT;1848;RIGHT UP 8 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 46,00 ; 84.900 ;
LISTA;2;ELT;1849;RIGHT UP 9 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 47,00 ; 84.900 ;
LISTA;2;ELT;1850;RIGHT UP 10 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 48,00 ; 84.900 ;
